Date,Tomato,Onion,Carrot,Rice,Wheat
2025-07-01,30.75,20.11,14.84,49.45,41.08
2025-07-02,30.43,19.81,14.94,49.62,40.51
2025-07-03,30.82,20.11,15.16,50.21,40.01
2025-07-04,31.26,20.46,14.75,50.21,40.73
2025-07-05,30.38,19.99,15.05,50.21,40.6
2025-07-06,30.38,20.47,15.26,51.54,40.2
2025-07-07,31.29,19.21,14.68,50.23,40.53
2025-07-08,30.88,20.25,15.04,50.45,40.31
2025-07-09,30.27,20.03,15.05,50.38,40.56
2025-07-10,30.77,19.91,15.16,50.26,40.83
2025-07-11,30.27,20.03,14.75,49.87,41.29
2025-07-12,30.27,19.4,14.74,50.3,39.88
2025-07-13,30.62,19.93,15.1,49.69,41.57
2025-07-14,29.54,20.11,15.06,49.91,39.52
2025-07-15,29.64,20.44,15.05,49.81,40.42
2025-07-16,30.22,19.84,15.07,50.03,40.79
2025-07-17,29.99,19.76,14.86,50.93,40.64
2025-07-18,30.66,19.85,15.05,49.25,40.19
2025-07-19,30.05,20.27,15.06,50.27,40.4
2025-07-20,29.79,20.1,14.86,49.35,40.25
2025-07-21,31.23,19.84,15.37,49.81,40.21
2025-07-22,30.39,20.15,15.09,50.44,40.92
2025-07-23,30.53,20.03,14.76,50.03,40.68
2025-07-24,29.79,20.29,15.13,49.57,40.15
2025-07-25,30.23,19.79,14.81,49.71,40.95
2025-07-26,30.56,19.9,15.16,50.27,40.65
2025-07-27,29.92,19.88,15.23,49.71,40.91
2025-07-28,30.69,19.56,14.84,50.09,40.81
2025-07-29,30.2,20.09,15.19,50.02,40.09
2025-07-30,30.35,20.08,15.08,49.74,40.22
2025-07-31,30.2,20.0,15.16,50.86,40.87
2025-08-01,31.43,19.93,15.38,50.25,40.81
2025-08-02,30.49,19.58,14.95,49.19,40.49
2025-08-03,29.97,19.87,14.85,50.07,40.56
2025-08-04,30.91,19.9,14.82,49.74,41.14
2025-08-05,29.89,19.76,14.84,50.34,40.2
2025-08-06,30.6,19.95,14.98,49.68,40.77
2025-08-07,29.52,20.12,15.07,49.95,40.4
2025-08-08,29.84,20.57,15.06,50.2,40.39
2025-08-09,30.6,20.05,15.17,50.35,41.05
2025-08-10,30.87,20.08,15.0,49.52,40.91
2025-08-11,30.59,19.98,15.29,49.87,40.91
2025-08-12,30.44,19.42,14.95,49.81,41.15
2025-08-13,30.35,19.99,15.54,49.74,40.51
2025-08-14,29.76,20.02,15.13,50.71,40.84
2025-08-15,30.14,20.74,14.83,50.16,40.34
2025-08-16,30.27,19.94,14.79,49.5,40.66
2025-08-17,31.03,20.09,15.1,50.37,40.43
2025-08-18,30.67,19.99,14.96,50.85,40.55
2025-08-19,29.62,19.65,15.14,50.41,40.8
2025-08-20,30.66,20.34,15.09,49.39,40.09
2025-08-21,30.31,20.23,14.99,49.81,41.55
2025-08-22,30.16,20.24,14.83,50.51,40.0
2025-08-23,30.81,19.73,14.7,49.72,39.89
2025-08-24,31.02,20.42,14.91,50.18,41.08
2025-08-25,30.97,19.58,15.17,50.31,40.9
2025-08-26,30.08,20.18,15.04,49.63,40.81
2025-08-27,30.35,20.66,14.75,49.98,40.81
2025-08-28,30.67,19.7,15.03,48.7,40.49
2025-08-29,30.99,19.83,15.08,49.59,40.05
2025-08-30,30.26,20.03,14.82,49.9,40.54
2025-08-31,30.41,19.85,15.03,49.5,40.16
2025-09-01,29.95,19.53,15.01,50.65,40.99
2025-09-02,29.9,20.02,14.77,49.43,40.43
2025-09-03,30.91,19.68,15.07,49.82,40.09
2025-09-04,31.18,20.14,15.11,50.05,40.34
2025-09-05,30.46,19.72,15.22,50.58,40.71
2025-09-06,31.0,20.46,15.21,49.43,40.22
